workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
YCu,orig,2d,async,10,128,580.44,584.44,571.03,4.19,100.0,349.40,145.52,202.78,926.92,781.76,0.0
YCu,orig,2d,pread,10,128,580.77,585.52,514.64,27.82,100.0,8118.62,146.63,7976.23,8701.94,8559.56,0.0
YCu,orig,2e_K10,async,10,128,582.70,587.10,512.31,21.37,100.0,360.87,142.40,217.75,940.16,800.17,0.0
YCu,orig,2e_K10,pread,10,128,584.00,587.38,519.62,19.45,100.0,8995.85,147.00,8854.65,9551.34,9406.92,0.0
YCu,orig,2e_K500,async,10,128,582.46,589.05,578.74,3.34,100.0,1159.28,142.07,1015.95,1740.85,1599.37,0.0
YCu,orig,2e_K500,pread,10,128,582.94,590.26,576.39,4.31,100.0,52570.69,143.09,52428.28,53153.01,53010.60,0.0
YCu,orig,2f_slru,async,10,128,103.33,109.39,102.09,2.74,100.0,42274.55,142.34,42133.04,42378.99,42237.47,0.0
YCu,orig,2f_slru,pread,10,128,110.50,114.73,101.48,3.79,100.0,104512.87,142.22,104367.74,104623.68,104478.55,0.0
YCu,orig,2f_top14,async,10,128,1044.56,1068.24,1030.86,12.81,100.0,227.57,142.30,85.19,1273.84,1128.54,0.0
YCu,orig,2f_top14,pread,10,128,1041.20,1104.18,1001.64,32.68,100.0,1428.36,142.07,1286.91,2488.28,2345.59,0.0
YCu,orig,2f_top28,async,10,128,585.70,598.58,579.00,6.58,100.0,250.35,143.93,104.62,836.19,692.27,0.0
YCu,orig,2f_top28,pread,10,128,585.67,701.43,572.29,62.84,100.0,2616.18,144.63,2472.41,3207.93,3062.91,0.0
YCu,orig,baseline,baseline,10,128,1087.71,1117.29,896.00,64.81,0.0,0.00,0.00,0.00,1087.71,1087.71,0.0
YCu,orig,layers_5,async,10,128,1061.87,1070.99,963.16,30.96,100.0,214.34,143.44,70.53,1277.26,1132.49,0.0
YCu,orig,layers_5,pread,10,128,1064.22,1070.08,936.60,38.69,100.0,581.26,142.89,438.29,1644.41,1502.21,0.0
YCu,orig,layers_92,async,10,128,583.61,989.98,573.96,193.00,100.0,348.96,142.26,203.97,933.43,787.39,0.0
YCu,orig,layers_92,pread,10,128,581.26,590.51,518.37,25.56,100.0,8140.78,145.17,7998.35,8706.54,8561.56,0.0
